post_id,raw_slug,reason,details
1430,"martin-harvesting-service-llc",not_gd_place,"listing"
1431,"eastern-lancaster-county-veterinary-clinic",not_gd_place,"listing"
1432,"jay-homer-groff-trucking",not_gd_place,"listing"
1433,"sindall-transport",not_gd_place,"listing"
1434,"lapps-equipment-sales",not_gd_place,"listing"
1435,"lakeview-animal-clinic",not_gd_place,"listing"
1436,"latrobe-excavating-hauling",not_gd_place,"listing"
1437,"west-central-equipment",not_gd_place,"listing"
1438,"papa-the-butcher",not_gd_place,"listing"
1439,"troy-veterinary-clinic",not_gd_place,"listing"
1440,"lindsey-equipment",not_gd_place,"listing"
1441,"fields-custom-slaughtering",not_gd_place,"listing"
1442,"ganders-custom-farming",not_gd_place,"listing"
1443,"greener-pastures-veterinary-service",not_gd_place,"listing"
1444,"greenhill-farms-equipment-inc",not_gd_place,"listing"
1445,"haring-brothers-meats-inc",not_gd_place,"listing"
1446,"hougar-farms",not_gd_place,"listing"
1447,"new-bolton-center",not_gd_place,"listing"
1448,"abel-brothers-towing",not_gd_place,"listing"
1449,"pgt-trucking-inc",not_gd_place,"listing"
1450,"j-and-d-lawn-tractor-sales",not_gd_place,"listing"
1451,"martins-custom-butchering",not_gd_place,"listing"
1452,"willow-creek-equine-veterinary-services",not_gd_place,"listing"
1453,"jeff-brown-livestock-hauling",not_gd_place,"listing"
1454,"brook-ledge-horse-transportation",not_gd_place,"listing"
1455,"reading-tractor-equipment",not_gd_place,"listing"
1456,"lacoes-butchering",not_gd_place,"listing"
1457,"abington-equine-hospital",not_gd_place,"listing"
1458,"lanes-crane-service-hauling",not_gd_place,"listing"
1459,"bartron-supply-inc",not_gd_place,"listing"
1460,"baer-custom-butchering",not_gd_place,"listing"
1461,"laurel-highlands-animal-health",not_gd_place,"listing"
1462,"leasock-heavy-hauling",not_gd_place,"listing"
1463,"scheffels-inc",not_gd_place,"listing"
1464,"marks-custom-meats",not_gd_place,"listing"
1465,"juniata-custom-farming-llc",not_gd_place,"listing"
1466,"straley-large-animal-veterinary-services-inc",not_gd_place,"listing"
1467,"maxwell-transport-inc",not_gd_place,"listing"
1468,"harrys-custom-meats",not_gd_place,"listing"
1469,"camelot-veterinary-services",not_gd_place,"listing"
1470,"rose-hauling-co",not_gd_place,"listing"
1471,"quarrick-equipment-auctions-inc",not_gd_place,"listing"
1472,"russell-veterinary-hospital",not_gd_place,"listing"
1473,"w-h-fitzgerald-inc",not_gd_place,"listing"
1474,"davies-sons",not_gd_place,"listing"
1475,"pennsylvania-packinghouse",not_gd_place,"listing"
1477,"middletown-tractor-sales",not_gd_place,"listing"
1478,"naugles-custom-butchering-and-deer-processing-inc",not_gd_place,"listing"
1481,"steven-k-bierly-trucking",not_gd_place,"listing"
1482,"allison-crane-rigging",not_gd_place,"listing"
1483,"floyd-fry-jr-used-farm-machinery",not_gd_place,"listing"
1502,"cows_foodarmor-848x477",not_gd_place,"attachment"
1503,"step1",not_gd_place,"attachment"
1504,"step1-2",not_gd_place,"attachment"
1505,"step2",not_gd_place,"attachment"
1506,"step3",not_gd_place,"attachment"
1507,"step2-2",not_gd_place,"attachment"
1508,"step3-2",not_gd_place,"attachment"
1509,"step4",not_gd_place,"attachment"
1510,"step1-3",not_gd_place,"attachment"
1511,"step2-3",not_gd_place,"attachment"
1512,"step3-3",not_gd_place,"attachment"
1513,"step4-2",not_gd_place,"attachment"
1514,"headerbanner",not_gd_place,"attachment"
1515,"headerbanner-2",not_gd_place,"attachment"
1516,"headerbanner-3",not_gd_place,"attachment"
1520,"gross-custom-butchering",not_gd_place,"listing"
1531,"ads-txt",not_gd_place,"adstxt"
1532,"kota-meats-inc",not_gd_place,"listing"
1533,"bowman-custom-meat",not_gd_place,"listing"
1534,"topnotch-custom-meats",not_gd_place,"listing"
1535,"valley-custom-meats",not_gd_place,"listing"
1536,"myers-meats",not_gd_place,"listing"
1537,"jj-hazen-meats-inc",not_gd_place,"listing"
1538,"butcher-block-meats",not_gd_place,"listing"
1539,"double-r-meats",not_gd_place,"listing"
1540,"scherrs-meats",not_gd_place,"listing"
1541,"schweitzers-gourmet-meats",not_gd_place,"listing"
1542,"heart-of-dakota-packing",not_gd_place,"listing"
1543,"mattern-family-meats",not_gd_place,"listing"
1544,"bowdon-meat-processing",not_gd_place,"listing"
1545,"devore-custom-meats",not_gd_place,"listing"
1546,"lamoure-lockers",not_gd_place,"listing"
1547,"barton-meats",not_gd_place,"listing"
1548,"north-american-bison-llc",not_gd_place,"listing"
1549,"ke-meats-llp",not_gd_place,"listing"
1550,"langdon-locker",not_gd_place,"listing"
1551,"goldades-meats-custom-processing",not_gd_place,"listing"
1552,"valley-meat-supply-inc",not_gd_place,"listing"
1553,"casselton-cold-storage",not_gd_place,"listing"
1554,"maple-valley-meats",not_gd_place,"listing"
1555,"fairmount-locker-plant",not_gd_place,"listing"
1556,"all-in-enterprises-llc-custom-harvesting",not_gd_place,"listing"
1557,"berg-sons-llc",not_gd_place,"listing"
1558,"eberts-harvesting-inc",not_gd_place,"listing"
1559,"northern-lights-chopping",not_gd_place,"listing"
1560,"neumiller-harvesting",not_gd_place,"listing"
1561,"gph-enterprises",not_gd_place,"listing"
1562,"berg-harvesting",not_gd_place,"listing"
1563,"schanz-custom-harvesting",not_gd_place,"listing"
1564,"brown-harvesting",not_gd_place,"listing"
1565,"altendorf-harvesting",not_gd_place,"listing"
1566,"bob-anderson-harvesting",not_gd_place,"listing"
1567,"braathen-harvesting",not_gd_place,"listing"
1568,"peterson-harvesting-inc",not_gd_place,"listing"
1569,"haugen-combining",not_gd_place,"listing"
1570,"mclaen-custom-harvesting",not_gd_place,"listing"
1571,"matejcek-custom-combining",not_gd_place,"listing"
1572,"western-veterinary-clinic",not_gd_place,"listing"
1573,"watford-city-veterinary-center",not_gd_place,"listing"
1574,"beach-veterinary",not_gd_place,"listing"
1575,"west-river-veterinary-clinic",not_gd_place,"listing"
1576,"west-dakota-veterinary-clinic",not_gd_place,"listing"
1577,"minot-veterinary-clinic",not_gd_place,"listing"
1578,"northern-veterinary-services",not_gd_place,"listing"
1579,"missouri-valley-vet",not_gd_place,"listing"
1580,"sheridan-animal-hospital",not_gd_place,"listing"
1581,"towner-animal-health-clinic",not_gd_place,"listing"
1582,"turtle-mountain-veterinary-service",not_gd_place,"listing"
1583,"rugby-veterinary-services",not_gd_place,"listing"
1584,"steele-veterinary-clinic",not_gd_place,"listing"
1585,"ashley-veterinary-clinic",not_gd_place,"listing"
1586,"ellendale-veterinary-services",not_gd_place,"listing"
1587,"southwood-veterinary-clinic",not_gd_place,"listing"
1588,"town-country-veterinary-service",not_gd_place,"listing"
1589,"gibbens-veterinary-service",not_gd_place,"listing"
1590,"devils-lake-animal-clinic",not_gd_place,"listing"
1591,"cooperstown-veterinary-clinic",not_gd_place,"listing"
1592,"valley-city-veterinary-hospital",not_gd_place,"listing"
1593,"hovland-veterinary-services",not_gd_place,"listing"
1594,"dakota-veterinary-hospital",not_gd_place,"listing"
1595,"stoney-creek-transport",not_gd_place,"listing"
1596,"gardner-farms-inc",not_gd_place,"listing"
1597,"powder-river-transport",not_gd_place,"listing"
1598,"dietz-trucking",not_gd_place,"listing"
1599,"howard-ranch",not_gd_place,"listing"
1600,"gerbig-ranch",not_gd_place,"listing"
1601,"burke-ranch-trucking-inc",not_gd_place,"listing"
1602,"ehlers-trucking-inc",not_gd_place,"listing"
1603,"jahner-trucking",not_gd_place,"listing"
1604,"haugen-trucking",not_gd_place,"listing"
1605,"knife-river-trucking-llc",not_gd_place,"listing"
1606,"diamond-f-trucking",not_gd_place,"listing"
1607,"kutina-trucking",not_gd_place,"listing"
1608,"blue-goose-trucking",not_gd_place,"listing"
1609,"paul-fuchs-trucking",not_gd_place,"listing"
1610,"bl-trucking-inc",not_gd_place,"listing"
1611,"dce-trucking",not_gd_place,"listing"
1612,"darrel-berger-trucking",not_gd_place,"listing"
1613,"b-jochim-trucking",not_gd_place,"listing"
1614,"bertch-farm-and-ranch",not_gd_place,"listing"
1615,"netterville-trucking",not_gd_place,"listing"
1616,"b-w-trucking",not_gd_place,"listing"
1617,"m-k-trucking",not_gd_place,"listing"
1618,"k-and-h-trucking",not_gd_place,"listing"
1619,"triple-j-farms",not_gd_place,"listing"
1620,"oak-creek-trucking",not_gd_place,"listing"
1621,"l-b-trucking",not_gd_place,"listing"
1622,"lg-trucking",not_gd_place,"listing"
1623,"fandrich-trucking",not_gd_place,"listing"
1624,"dewitz-transport-inc",not_gd_place,"listing"
1625,"laber-trucking",not_gd_place,"listing"
1626,"goettle-trucking",not_gd_place,"listing"
1627,"martinson-farm-and-ranch",not_gd_place,"listing"
1628,"gentzkow-trucking-service-inc",not_gd_place,"listing"
1629,"martin-livestock-trucking-inc",not_gd_place,"listing"
1630,"olson-trucking",not_gd_place,"listing"
1631,"rosenberg-trucking-service",not_gd_place,"listing"
1632,"tofsrud-trucking",not_gd_place,"listing"
1633,"gefroh-farms",not_gd_place,"listing"
1634,"moen-trucking",not_gd_place,"listing"
1635,"parvey-trucking",not_gd_place,"listing"
1636,"halberg-trucking",not_gd_place,"listing"
1637,"darin-magedanz-trucking",not_gd_place,"listing"
1638,"scott-warner",not_gd_place,"listing"
1639,"nygaard-farms",not_gd_place,"listing"
1640,"rickford-trucking-inc",not_gd_place,"listing"
1641,"christensen-trucking",not_gd_place,"listing"
1642,"a-a-trucking-llc",not_gd_place,"listing"
1643,"dana-huether-farm",not_gd_place,"listing"
1644,"g-f-ennis-trucking",not_gd_place,"listing"
1645,"birchem-livestock",not_gd_place,"listing"
1646,"black-hills-trucking",not_gd_place,"listing"
1647,"mongoose-trucking",not_gd_place,"listing"
1648,"vertical-transport-north",not_gd_place,"listing"
1649,"sanda-transportation",not_gd_place,"listing"
1650,"royal-farms-transport",not_gd_place,"listing"
1651,"northern-states-trucking",not_gd_place,"listing"
1652,"sproule-farms-trucking",not_gd_place,"listing"
1653,"jacobson-transport-inc",not_gd_place,"listing"
1654,"boldt-farm-supply",not_gd_place,"listing"
1655,"heggen-equipment",not_gd_place,"listing"
1656,"west-plains-inc",not_gd_place,"listing"
1657,"little-missouri-ranch-supply",not_gd_place,"listing"
1658,"agpro-equipment",not_gd_place,"listing"
1659,"green-ag-services-inc",not_gd_place,"listing"
1660,"rdo-equipment-co",not_gd_place,"listing"
1661,"west-river-equipment",not_gd_place,"listing"
1662,"sayler-implement-inc",not_gd_place,"listing"
1663,"northern-equipment-inc",not_gd_place,"listing"
1664,"blumhardt-equipment",not_gd_place,"listing"
1665,"valley-plains-equipment",not_gd_place,"listing"
1666,"erickson-implement-inc",not_gd_place,"listing"
1667,"high-plains-equipment",not_gd_place,"listing"
1668,"cornheads-inc",not_gd_place,"listing"
1669,"cooper-implement-co",not_gd_place,"listing"
1670,"interstate-equipment-inc",not_gd_place,"listing"
1671,"tracat",not_gd_place,"listing"
1672,"lillegard-inc",not_gd_place,"listing"
1746,"alexandia-locker",not_gd_place,"listing"
1747,"integrity-meats",not_gd_place,"listing"
1748,"gregory-couty-locker-llc",not_gd_place,"listing"
1749,"canton-meat-locker",not_gd_place,"listing"
1750,"chamberlain-locker-inc",not_gd_place,"listing"
1751,"dakota-butcher",not_gd_place,"listing"
1752,"flandreau-meat-locker",not_gd_place,"listing"
1753,"lakes-meat-processing",not_gd_place,"listing"
1754,"howard-cold-storage",not_gd_place,"listing"
1755,"huron-custom-meats",not_gd_place,"listing"
1756,"ll-meat-market",not_gd_place,"listing"
1757,"bobs-custom-meats",not_gd_place,"listing"
1758,"fuchs-locker-inc",not_gd_place,"listing"
1759,"ol-mill-meats",not_gd_place,"listing"
1760,"mitchell-locker",not_gd_place,"listing"
1761,"brocks-butcher-block",not_gd_place,"listing"
1762,"philip-custom-meats",not_gd_place,"listing"
1763,"wall-meat-processing",not_gd_place,"listing"
1764,"farmers-meat-processing",not_gd_place,"listing"
1765,"feterls-meats",not_gd_place,"listing"
1766,"lees-meats-and-sausages",not_gd_place,"listing"
1767,"hortons-processing-plant",not_gd_place,"listing"
1768,"sturgis-meat-services",not_gd_place,"listing"
1769,"jorgenson-meats",not_gd_place,"listing"
1770,"mettlers-lockers",not_gd_place,"listing"
1771,"steiners-locker",not_gd_place,"listing"
1772,"dm-custom-harvesting",not_gd_place,"listing"
1773,"triple-lll-harvesting",not_gd_place,"listing"
1774,"van-kooten-ag-service",not_gd_place,"listing"
1775,"lubbers-farms-inc",not_gd_place,"listing"
1776,"erickson-farms",not_gd_place,"listing"
1777,"bw-harvesting-llc",not_gd_place,"listing"
1778,"krause-harvesting",not_gd_place,"listing"
1779,"haak-harvesting",not_gd_place,"listing"
